original_text,claims_labels,claims,text_length
Poorly understood aspects of climate change do not change the fact that a great deal of climate science is well understood.,SUPPORTS,poorly understood aspect climate change not change fact great deal climate science well understood,98
"""The 30 major droughts of the 20th century were likely natural in all respects; and, hence, they are ""indicative of what could also happen in the future,"" as Narisma",NOT_ENOUGH_INFO,major drought 20th century likely natural respect hence indicative could also happen future narisma,99
"The knock-on consequences affect national security, as the scale of the challenges involved, such as pandemic disease outbreaks, are overwhelming.",NOT_ENOUGH_INFO,knockon consequence affect national security scale challenge involved pandemic disease outbreak overwhelming,108
IPCC were wrong about Amazon rainforests,NOT_ENOUGH_INFO,ipcc wrong amazon rainforest,28
"Despite recent attempts to paint the United States as a major global polluter, according to the World Health Organization (WHO), the U.S. is among the cleanest nations on the planet.",NOT_ENOUGH_INFO,despite recent attempt paint united state major global polluter according world health organization among cleanest nation planet,128
The rate of warming according to the data is much slower than the models used by the IPCC,REFUTES,rate warming according data much slower model used ipcc,55
"Consequently, the total amount of Arctic sea ice in 2008 and 2009 are the lowest on record.",NOT_ENOUGH_INFO,consequently total amount arctic sea ice lowest record,54
"""Mike's Nature trick"" has nothing to do with ""hide the decline"", instead refering to a technique by Michael Mann to plot instrumental temperature along with past reconstructions.",NOT_ENOUGH_INFO,mike nature trick nothing hide decline instead refering technique michael mann plot instrumental temperature along past reconstruction,134
"We’re not sure because we don’t have enough data, for long enough, to separate signal from noise,” said Eric J. Steig, a scientist at the University of Washington who has studied temperature trends in Antarctica.",NOT_ENOUGH_INFO,not sure enough data long enough separate signal noise said eric steig scientist university washington studied temperature trend antarctica,139
"For that, we have to work on other types of marine organisms so that we clearly understand what took place in the sediment over geological time”",NOT_ENOUGH_INFO,work type marine organism clearly understand took place sediment geological time,80
“The amount of coral on the Great Barrier Reef is at record high levels”; those claiming the reef is threatened by climate change are alarmists,REFUTES,amount coral great barrier reef record high level claiming reef threatened climate change alarmist,98
Stress from unusually warm ocean water heated by man-made climate change and the natural El Niño climate pattern caused the die-off.,NOT_ENOUGH_INFO,stress unusually warm ocean water heated manmade climate change natural niño climate pattern caused dieoff,106
"Prof Adam Scaife, a climate modelling expert at the UK’s Met Office, said the evidence for a link to shrinking Arctic ice was now good: ‘The consensus points towards that being a real effect.’”",NOT_ENOUGH_INFO,prof adam scaife climate modelling expert met office said evidence link shrinking arctic ice good consensus point towards real effect,133
"""Three Australasian researchers have shown that natural forces are the dominant influence on climate, in a study just published in the highly-regarded Journal of Geophysical Research.",NOT_ENOUGH_INFO,three australasian researcher shown natural force dominant influence climate study published highlyregarded journal geophysical research,136
"Once natural influences, in particular the impact of El Niño and La Niña, are removed from the recent termperature record, there is no evidence of a significant change in the human contribution to climate change.",SUPPORTS,natural influence particular impact niño niña removed recent termperature record evidence significant change human contribution climate change,142
"“During the sunless winter, a heatwave raised concerns that the polar vortex may be eroding.",SUPPORTS,sunless winter heatwave raised concern polar vortex may eroding,63
"The CERN CLOUD experiment only tested one-third of one out of four requirements necessary to blame global warming on cosmic rays, and two of the other requirements have already failed.",SUPPORTS,cern cloud experiment tested onethird one four requirement necessary blame global warming cosmic ray two requirement already failed,131
"When stomata-derived CO2 (red) is compared to ice core-derived CO2 (blue), the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores.",SUPPORTS,stomataderived co2 red compared ice corederived co2 blue stoma generally show much variability atmospheric co2 level often show level much higher ice core,154
"Humans are small but powerful, and human CO2 emissions are causing global warming.",SUPPORTS,human small powerful human co2 emission causing global warming,62
"It shows that ECS is probably between two and 4.5 degrees, possibly as low as 1.5 but not lower, and possibly as high as nine degrees.",NOT_ENOUGH_INFO,show ec probably two degree possibly low not lower possibly high nine degree,76
"Human activities (mainly greenhouse-gas emissions) are the dominant cause of the rapid warming since the middle 1900s (IPCC, 2013).",SUPPORTS,human activity mainly greenhousegas emission dominant cause rapid warming since middle 1900s ipcc,97
90 percent of the world’s glaciers are growing.,REFUTES,percent world glacier growing,29
“The clothing industry contributes up to 10% of the pollution driving the climate crisis.”,SUPPORTS,clothing industry contributes pollution driving climate crisis,62
California wildfires are being magnified & made so much worse by the bad environmental laws which aren’t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean.,REFUTES,california wildfire magnified made much worse bad environmental law allowing massive amount readily available water properly utilized diverted pacific ocean,156
The global dimming trend reversed around 1990 - 15 years after the global warming trend began in the mid 1970's.,SUPPORTS,global dimming trend reversed around year global warming trend began mid,72
"At least close to the new spot and to the equator, nothing less than global warming is expected""",NOT_ENOUGH_INFO,least close new spot equator nothing less global warming expected,65
"The 'decline' refers to a decline in northern tree-rings, not global temperature, and is openly discussed in papers and the IPCC reports.",NOT_ENOUGH_INFO,decline refers decline northern treerings not global temperature openly discussed paper ipcc report,99
Weather Channel Co-Founder John Coleman Calls Global Warming a Hoax,NOT_ENOUGH_INFO,weather channel cofounder john coleman call global warming hoax,63
Climate change is due to cosmic rays.,NOT_ENOUGH_INFO,climate change due cosmic ray,29
It takes as much energy to make a solar panel as it likely generates in its entire life.,NOT_ENOUGH_INFO,take much energy make solar panel likely generates entire life,62
The consensus among scientists and policy-makers is that we’ll pass this point of no return if the global mean temperature rises by more than two degrees Celsius.,NOT_ENOUGH_INFO,consensus among scientist policymakers pas point return global mean temperature rise two degree celsius,103
Plant stomata show higher and more variable CO2 levels.,NOT_ENOUGH_INFO,plant stoma show higher variable co2 level,42
Donald Trump claims Global Warming is a hoax,SUPPORTS,donald trump claim global warming hoax,38
This could mean the landmark Paris Climate Agreement – which seeks to limit global warming to 2 degrees Celsius (3.6 degrees Fahrenheit) above pre-industrial levels – may not be enough to ward off catastrophe.,SUPPORTS,could mean landmark paris climate agreement seek limit global warming degree celsius degree fahrenheit preindustrial level may not enough ward catastrophe,154
"Currently, sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2.",NOT_ENOUGH_INFO,currently sealevel rise not seem depend ocean temperature certainly not co2,75
"""The observed data show that CFCs conspiring with cosmic rays most likely caused both the Antarctic ozone hole and global warming...",SUPPORTS,observed data show cfc conspiring cosmic ray likely caused antarctic ozone hole global warming,94
"The public understand it, in that if  you get a fall evening or spring evening and the sky is clear the heat  will escape and the temperature will drop and you get frost.",NOT_ENOUGH_INFO,public understand get fall evening spring evening sky clear heat escape temperature drop get frost,98
The human contribution to global warming was about 0.01°C.,REFUTES,human contribution global warming 01°c,38
"CO2 is not powerful in that sense, the only thing it does in the system is make the planet greener.",NOT_ENOUGH_INFO,co2 not powerful sense thing system make planet greener,55
[CO2] is also a greenhouse gas which helps maintain earth at a habitable temperature.,SUPPORTS,co2 also greenhouse gas help maintain earth habitable temperature,65
"""Britain's big freeze is the start of a worldwide trend towards colder weather that seriously challenges global warming theories, eminent scientists claimed yesterday.",NOT_ENOUGH_INFO,britain big freeze start worldwide trend towards colder weather seriously challenge global warming theory eminent scientist claimed yesterday,141
"While transient weather variability is playing a key role here, the widespread record warmth across the U.S. so far this year is part of a long-term trend toward more warm temperature records versus cold ones.",NOT_ENOUGH_INFO,transient weather variability playing key role widespread record warmth across far year part longterm trend toward warm temperature record versus cold one,154
"""The solubility of carbon dioxide in water is listed in the Handbook of Chemistry and Physics as a declining function of temperature. ...",NOT_ENOUGH_INFO,solubility carbon dioxide water listed handbook chemistry physic declining function temperature,95
"“Unlike genuine pollutants, carbon dioxide (CO2) is an odorless, colorless gas.",REFUTES,unlike genuine pollutant carbon dioxide co2 odorless colorless gas,66
"About 120,000 years ago, before the last ice age, the planet went through a natural warm period, with temperatures similar to those expected in coming decades.",NOT_ENOUGH_INFO,year ago last ice age planet went natural warm period temperature similar expected coming decade,96
A generous estimate of the energy generated by satellites is around 1 million times too small to cause global warming.,NOT_ENOUGH_INFO,generous estimate energy generated satellite around million time small cause global warming,91
"But observations, such as those on our CO2 Coalition website, show that increased CO2 levels over the next century will cause modest and beneficial warming—perhaps as much as one degree Celsius (1.8 degrees Fahrenheit)",NOT_ENOUGH_INFO,observation co2 coalition website show increased co2 level next century cause modest beneficial warming—perhaps much one degree celsius degree fahrenheit,153
"But as that upper layer warms up, the oxygen-rich waters are less likely to mix down into cooler layers of the ocean because the warm waters are less dense and do not sink as readily.",SUPPORTS,upper layer warms oxygenrich water less likely mix cooler layer ocean warm water less dense not sink readily,108
Global warming is causing more hurricanes and stronger hurricanes.,SUPPORTS,global warming causing hurricane stronger hurricane,51
Modellers assume carbon dioxide drives climate change,NOT_ENOUGH_INFO,modeller assume carbon dioxide drive climate change,51
"In no way, shape, or form are humans warming or cooling the planet.",REFUTES,way shape form human warming cooling planet,43
"Donald Trump ""thinks that climate change is a hoax, invented by the Chinese.""",SUPPORTS,donald trump think climate change hoax invented chinese,55
The panel was forced to retract a statement in its 2007 report saying all Himalayan glaciers could melt entirely by 2035.,SUPPORTS,panel forced retract statement report saying himalayan glacier could melt entirely,82
"Since the end of 2012, moreover, total polar ice extent has largely remained above the post-1979 average.",REFUTES,since end moreover total polar ice extent largely remained post average,71
"“Even if we meet the Paris goals of two degrees warming, cities like Karachi and Kolkata will become close to uninhabitable, annually encountering deadly heat waves like those that crippled them in 2015.",NOT_ENOUGH_INFO,even meet paris goal two degree warming city like karachi kolkata become close uninhabitable annually encountering deadly heat wave like crippled,145
"They concluded that trends toward rising climate damages were mainly due to increased population and economic activity in the path of storms, that it was not currently possible to determine the portion of damages attributable to greenhouse gases, and that they didn’t expect that situation to change in the near future.",NOT_ENOUGH_INFO,concluded trend toward rising climate damage mainly due increased population economic activity path storm not currently possible determine portion damage attributable greenhouse gas expect situation change near future,217
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,REFUTES,scientist studying antarctica sea ice warn rise accumulation could spark next ice age,85
So it’s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago.,NOT_ENOUGH_INFO,surprise climate scientist remarkably warm last niño ended year ago,67
They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,SUPPORTS,tell primary force controlling earth temperature burning fossil fuel releasing carbon dioxide,93
"“The Lancet researchers found that about 0.5%—half a percent—of all deaths are associated with heat, not only from acute problems like heat stroke, but also increased mortality from cardiac events and dehydration.",NOT_ENOUGH_INFO,lancet researcher found —half percent—of death associated heat not acute problem like heat stroke also increased mortality cardiac event dehydration,148
"The report, published in the journal Nature Geoscience on September 18, acknowledges that most of the models of warming trends failed to predict the ‘slowdown’ in warming post-2000, resulting in less pronounced warming than predicted and thus more room in the CO2 ‘emissions budget’ for the coming decades.",NOT_ENOUGH_INFO,report published journal nature geoscience september acknowledges model warming trend failed predict slowdown warming post resulting less pronounced warming predicted thus room co2 emission budget coming decade,210
Fundamental physics and global climate models both make testable predictions as to how the global climate should change in response to anthropogenic warming.,NOT_ENOUGH_INFO,fundamental physic global climate model make testable prediction global climate change response anthropogenic warming,117
Excess CO2 from human emissions has a long residence time of over 100 years,NOT_ENOUGH_INFO,excess co2 human emission long residence time year,50
The heaviest precipitation events will become more frequent and more extreme.,NOT_ENOUGH_INFO,heaviest precipitation event become frequent extreme,52
"Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.",NOT_ENOUGH_INFO,forward projection solar cyclicity imply next decade may marked global cooling rather warming despite continuing co2 emission,125
Methane is the only cause of climate change.,NOT_ENOUGH_INFO,methane cause climate change,28
"In fact, the global melt rate has been accelerating since the mid-1970s.",SUPPORTS,fact global melt rate accelerating since mid1970s,49
"for thousands of millions of years the Earth has been changing, with cycles­ and one-off events such as an asteroid impact, super-volcano or a supernova explosion.",NOT_ENOUGH_INFO,thousand million year earth changing cycles­ oneoff event asteroid impact supervolcano supernova explosion,106
“It seems self-evident that rising sea levels will reduce land area.,NOT_ENOUGH_INFO,seems selfevident rising sea level reduce land area,51
“Forest fires are caused by poor management. Not by climate change.”,REFUTES,forest fire caused poor management not climate change,53
"The knock-on consequences affect national security, as the scale of the challenges involved, such as pandemic disease outbreaks, are overwhelming.",NOT_ENOUGH_INFO,knockon consequence affect national security scale challenge involved pandemic disease outbreak overwhelming,108
"President Obama's proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",NOT_ENOUGH_INFO,president obamas proposal call serious cut longterm carbon emission china india still allowed increase emission,111
When the exact same group of experts who claimed it was global cooling in 1977 now claim its global warming you can easily see why I am skeptical,REFUTES,exact group expert claimed global cooling claim global warming easily see skeptical,83
"But observations, such as those on our CO2 Coalition website, show that increased CO2 levels over the next century will cause modest and beneficial warming—perhaps as much as one degree Celsius (1.8 degrees Fahrenheit)",NOT_ENOUGH_INFO,observation co2 coalition website show increased co2 level next century cause modest beneficial warming—perhaps much one degree celsius degree fahrenheit,153
The ­atmospheric residency time of carbon dioxide is five years,NOT_ENOUGH_INFO,­atmospheric residency time carbon dioxide five year,52
Humans are too insignificant to affect global climate.,REFUTES,human insignificant affect global climate,41
the first scientists to show that the thick icecap that once covered the Arctic ocean was beginning to thin and shrink.,NOT_ENOUGH_INFO,first scientist show thick icecap covered arctic ocean beginning thin shrink,76
The United States has been restricting soot emissions  in Draconian fashion since the Clean Air Act of 1963.,NOT_ENOUGH_INFO,united state restricting soot emission draconian fashion since clean air act,76
"Burning fuel to produce fertiliser to grow feed, to  produce meat and to transport it - and clearing vegetation for grazing -  produces 9 per cent of all emissions of carbon dioxide, the most common  greenhouse gas.",NOT_ENOUGH_INFO,burning fuel produce fertiliser grow feed produce meat transport clearing vegetation grazing produce per cent emission carbon dioxide common greenhouse gas,155
Opponents of climate action are getting twice as much airtime as proponents of climate action.,NOT_ENOUGH_INFO,opponent climate action getting twice much airtime proponent climate action,75
"The corals may save themselves, as many other creatures are attempting to do, by moving toward the poles as the Earth warms, establishing new reefs in cooler water.”",SUPPORTS,coral may save many creature attempting moving toward pole earth warms establishing new reef cooler water,105
"Temperatures in the Arctic have soared recently, and scientists are struggling to explain exactly why.",NOT_ENOUGH_INFO,temperature arctic soared recently scientist struggling explain exactly,71
Carbon dioxide is not a climate heat driver; we had an ice age when the Earth had extraordinarily larger amounts of carbon dioxide; in the 1970s scientists thought we were going to have a new ice age.,REFUTES,carbon dioxide not climate heat driver ice age earth extraordinarily larger amount carbon dioxide 1970s scientist thought going new ice age,139
"The jet stream controls broad weather patterns, such as high-pressure and low-pressure systems.",NOT_ENOUGH_INFO,jet stream control broad weather pattern highpressure lowpressure system,72
To claim that humidity is decreasing requires you ignore a multitude of independent reanalyses that all show increasing humidity.,NOT_ENOUGH_INFO,claim humidity decreasing requires ignore multitude independent reanalyses show increasing humidity,99
This could mean the landmark Paris Climate Agreement – which seeks to limit global warming to 2 degrees Celsius (3.6 degrees Fahrenheit) above pre-industrial levels – may not be enough to ward off catastrophe.,NOT_ENOUGH_INFO,could mean landmark paris climate agreement seek limit global warming degree celsius degree fahrenheit preindustrial level may not enough ward catastrophe,154
During the 2013 election campaign the Coalition said its first legislative priority in government would be to scrap the carbon tax.,SUPPORTS,election campaign coalition said first legislative priority government would scrap carbon tax,93
Preventing global warming is relatively cheap; business-as-usual will cause accelerating climate damage costs that economists struggle to even estimate.,SUPPORTS,preventing global warming relatively cheap businessasusual cause accelerating climate damage cost economist struggle even estimate,130
"Scientists just discovered a massive, heretofore unknown, source of nitrogen",NOT_ENOUGH_INFO,scientist discovered massive heretofore unknown source nitrogen,63
The claim sea level isn’t rising is based on blatantly doctored graphs and conspiracy theories that are contradicted by empirical observational data.,NOT_ENOUGH_INFO,claim sea level rising based blatantly doctored graph conspiracy theory contradicted empirical observational data,113
"there has been no systematic increase in the frequency of extreme weather events,",REFUTES,systematic increase frequency extreme weather event,51
The April low temperatures here are now about 6 degrees Fahrenheit warmer than they used to be.,NOT_ENOUGH_INFO,april low temperature degree fahrenheit warmer used,51
"“ NASA concurred with NOAA, also declaring 2016 the warmest year on record in its own data set that tracks the temperatures at the surface of the planet’s land and oceans, and expressing ‘greater than 95 percent certainty’ in that conclusion.",NOT_ENOUGH_INFO,nasa concurred noaa also declaring warmest year record data set track temperature surface planet land ocean expressing greater percent certainty conclusion,155
Volcanoes emit around 0.3 billion tonnes of CO2 per year.,NOT_ENOUGH_INFO,volcano emit around billion tonne co2 per year,46
"“Instead of a three-foot increase in ocean levels by the end of the century, six feet was more likely, according to DeConto and Pollard’s findings.",NOT_ENOUGH_INFO,instead threefoot increase ocean level end century six foot likely according deconto pollard finding,100
"In many other cases, though — hurricanes, for example — the linkage to global warming for particular trends is uncertain or disputed.",NOT_ENOUGH_INFO,many case though hurricane example linkage global warming particular trend uncertain disputed,93
"Previous studies have shown that weakening carbon sinks will add 0.25°C, forest dieback will add 0.11°C, permafrost thaw will add 0.9°C and increased bacterial respiration will add 0.02°C.",NOT_ENOUGH_INFO,previous study shown weakening carbon sink add 25°c forest dieback add 11°c permafrost thaw add 9°c increased bacterial respiration add 02°c,140
"Under the most ambitious scenarios, they found a strong likelihood that Antarctica would remain fairly stable.”",NOT_ENOUGH_INFO,ambitious scenario found strong likelihood antarctica would remain fairly stable,80
Evidence is growing that the comparatively cold zone within the Northern Atlantic could be due to a slowdown of this global ocean water circulation.,SUPPORTS,evidence growing comparatively cold zone within northern atlantic could due slowdown global ocean water circulation,115
"And  since the last ice age ended almost exactly 11,500 years ago…"" (Ice Age Now)",NOT_ENOUGH_INFO,since last ice age ended almost exactly year ago… ice age,57
"At that time, Hansen also produced a model of the future behavior of the globe’s temperature, which he had turned into a video movie that was heavily shopped in Congress.",SUPPORTS,time hansen also produced model future behavior globe temperature turned video movie heavily shopped congress,109
"Many lines of evidence, including simple accounting, demonstrate beyond a shadow of a doubt that the increase in atmospheric CO2 is due to human fossil fuel burning.",SUPPORTS,many line evidence including simple accounting demonstrate beyond shadow doubt increase atmospheric co2 due human fossil fuel burning,133
The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,REFUTES,recent ipcc report lay future limit global heating 5°c instead paris agreement 2°c,82
The amount of carbon dioxide absorbed by the upper layer of the oceans is increasing by about 2 billion tons per year.,NOT_ENOUGH_INFO,amount carbon dioxide absorbed upper layer ocean increasing billion ton per year,80
"We’re not sure because we don’t have enough data, for long enough, to separate signal from noise,” said Eric J. Steig, a scientist at the University of Washington who has studied temperature trends in Antarctica.",NOT_ENOUGH_INFO,not sure enough data long enough separate signal noise said eric steig scientist university washington studied temperature trend antarctica,139
"""Skeptics hope that Postma’s alternative thermal model will lead  to the birth of a new climatology, one that actually follows the laws of  physics and properly physical modeling techniques...",NOT_ENOUGH_INFO,skeptic hope postma alternative thermal model lead birth new climatology one actually follows law physic properly physical modeling technique,141
Science entitled The Scientific Consensus on Climate Change (Oreskes 2004).,SUPPORTS,science entitled scientific consensus climate change oreskes,60
"Climate change is not happening, there is no significant man-made global warming now, there hasnt been any in the past, and theres no reason to expect any in the future.",REFUTES,climate change not happening significant manmade global warming hasnt past there reason expect future,101
Melting of Arctic sea ice and polar icecaps is not occurring at ‘unnatural’ rates and does not constitute evidence of a human impact on the climate.,REFUTES,melting arctic sea ice polar icecap not occurring unnatural rate not constitute evidence human impact climate,109
"Scientific analysis of past climates shows that greenhouse gasses, principally CO2, have controlled most ancient climate changes.",SUPPORTS,scientific analysis past climate show greenhouse gas principally co2 controlled ancient climate change,102
"theres this myth thats developed around carbon dioxide that its a pollutant […] Carbon dioxide is a perfectly natural gas, it’s just like water vapor, it’s something that plants love.",REFUTES,there myth thats developed around carbon dioxide pollutant carbon dioxide perfectly natural gas like water vapor something plant love,133
"When the PDO last switched to a cool phase, global temperatures were about 0.4C cooler than currently.",NOT_ENOUGH_INFO,pdo last switched cool phase global temperature cooler currently,64
"""[T]he influence of  so-called greenhouse gases on near-surface temperature - is not yet  absolutely proven.",REFUTES,influence socalled greenhouse gas nearsurface temperature not yet absolutely proven,83
"Until last June, most scientists acknowledged that warming reached a peak in the late 1990s",SUPPORTS,last june scientist acknowledged warming reached peak late 1990s,64
"Solar forcings are not too small to explain twentieth century warming. In fact, their effect could be equal to or greater than the effect of CO2 in the atmosphere.",REFUTES,solar forcings not small explain twentieth century warming fact effect could equal greater effect co2 atmosphere,112
[S]unspot activity on the surface of our star has dropped to a new low.,NOT_ENOUGH_INFO,sunspot activity surface star dropped new low,45
This argument originates from Angstrom's work in 1901.,NOT_ENOUGH_INFO,argument originates angstrom work,33
"However, this is exactly what climate scientists have predicted for California since at least the 1980s: protracted periods of warm, dry conditions punctuated by intense wet spells, with more rain and less snow, causing both drought and floods.",NOT_ENOUGH_INFO,however exactly climate scientist predicted california since least 1980s protracted period warm dry condition punctuated intense wet spell rain less snow causing drought flood,175
"Melting ice leads to more sunlight being absorbed by water, thus heating the Arctic.",SUPPORTS,melting ice lead sunlight absorbed water thus heating arctic,60
the first scientists to show that the thick icecap that once covered the Arctic ocean was beginning to thin and shrink.,SUPPORTS,first scientist show thick icecap covered arctic ocean beginning thin shrink,76
"Arctic greening was recently cited, in a major report by the U.S. Geological Survey, as the central reason that the state of Alaska, despite worsening wildfires and more thaw of permafrost, might still be able to stow away more carbon than it loses over the course of the 21st century.”",NOT_ENOUGH_INFO,arctic greening recently cited major report geological survey central reason state alaska despite worsening wildfire thaw permafrost might still able stow away carbon loses course 21st century,192
"The most notorious was 252 million years ago; it began when carbon warmed the planet by five degrees, accelerated when that warming triggered the release of methane in the Arctic, and ended with 97 percent of all life on Earth dead.”",NOT_ENOUGH_INFO,notorious million year ago began carbon warmed planet five degree accelerated warming triggered release methane arctic ended percent life earth dead,148
"The grasslands, crops, forests and territorial waters of Australia absorb more carbon dioxide than Australia emits.",SUPPORTS,grassland crop forest territorial water australia absorb carbon dioxide australia emits,87
The motions of the massive oceans where heat is moved between deep layers and the surface provides variability on time scales from years to centuries.,SUPPORTS,motion massive ocean heat moved deep layer surface provides variability time scale year century,95
roughly three-quarters of the tidal flood days now occurring in towns along the East Coast would not be happening in the absence of the rise in the sea level caused by human emissions.,NOT_ENOUGH_INFO,roughly threequarters tidal flood day occurring town along east coast would not happening absence rise sea level caused human emission,134
"""The solar system oscillates with a 60-year cycle due to the Jupiter/Saturn three-synodic cycle and to a Jupiter/Saturn beat tidal cycle...",NOT_ENOUGH_INFO,solar system oscillates year cycle due jupitersaturn threesynodic cycle jupitersaturn beat tidal cycle,102
"there has been no increase in frequency or intensity of storms, floods or droughts, while deaths attributed to such natural disasters have never been fewer",NOT_ENOUGH_INFO,increase frequency intensity storm flood drought death attributed natural disaster never fewer,94
"The North Pole is melting ""a bit"" but the South Pole is getting bigger.",NOT_ENOUGH_INFO,north pole melting bit south pole getting bigger,48
"Recent record-low water levels in Lake Michigan are evidence that global warming is leading to ""the evaporation of our Great Lakes.""",NOT_ENOUGH_INFO,recent recordlow water level lake michigan evidence global warming leading evaporation great lake,97
"Based on the increase of solar activity during the twentieth century, it should account for between half to two-thirds of all climate change.",NOT_ENOUGH_INFO,based increase solar activity twentieth century account half twothirds climate change,85
"There have long been claims that some unspecificed ""they"" has ""changed the name from 'global warming' to 'climate change'"".",REFUTES,long claim unspecificed changed name global warming climate change,66
"These tidal floods are often just a foot or two deep, but they can stop traffic, swamp basements, damage cars, kill lawns and forests, and poison wells with salt.",NOT_ENOUGH_INFO,tidal flood often foot two deep stop traffic swamp basement damage car kill lawn forest poison well salt,104
Most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,SUPPORTS,likely primary control knob climate change ocean water environment live,71
[CO2] has increased 43 percent above the pre-industrial level so far,NOT_ENOUGH_INFO,co2 increased percent preindustrial level far,45
"""...the largest of all the positive or temperature-amplifying feedbacks in  the UN’s arsenal is the water-vapor feedback.",NOT_ENOUGH_INFO,largest positive temperatureamplifying feedback arsenal watervapor feedback,75
"But by far the largest greenhouse gas is water vapour, which makes 95 per cent of the total.",NOT_ENOUGH_INFO,far largest greenhouse gas water vapour make per cent total,59
"A new peer-reviewed study on Surface Warming and the Solar Cycle found that times of high solar activity are on average 0.2°C warmer than times of low solar activity, and that there is a polar amplification of the warming.",NOT_ENOUGH_INFO,new peerreviewed study surface warming solar cycle found time high solar activity average 2°c warmer time low solar activity polar amplification warming,152
People tend to think of an ice-free Arctic in summer in terms of it merely being a symbol of global change.,SUPPORTS,people tend think icefree arctic summer term merely symbol global change,72
"The IPCC (2013), USGCRP (2017), and USGCRP (2018) indicate that it is extremely likely that human influence has been the dominant cause of the observed warming since the mid-twentieth century.",NOT_ENOUGH_INFO,ipcc usgcrp usgcrp indicate extremely likely human influence dominant cause observed warming since midtwentieth century,119
But as the change gets larger or more persistent … it appears they underestimate climate change,NOT_ENOUGH_INFO,change get larger persistent appears underestimate climate change,65
"In fact, in recent years when cosmic rays should have been having their largest cooling effect on record, temperatures have been at their highest on record.",NOT_ENOUGH_INFO,fact recent year cosmic ray largest cooling effect record temperature highest record,84
"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off",REFUTES,intergovernmental panel climate change misleading humanity climate change sea level fact new solardriven cooling period not far,127
The strong CO2 effect has been observed by many different measurements.,NOT_ENOUGH_INFO,strong co2 effect observed many different measurement,53
"With 32 years of  rapidly increasing global temperatures and only a minor increase in  global CO2 emissions, followed by 33 years of slowly cooling global  temperatures with rapid increases in global CO2 emissions, it was  deceitful for the IPCC to make any claim that CO2 emissions were  primarily responsible for observed 20th century global warming.""",REFUTES,year rapidly increasing global temperature minor increase global co2 emission followed year slowly cooling global temperature rapid increase global co2 emission deceitful ipcc make claim co2 emission primarily responsible observed 20th century global warming,258
El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,NOT_ENOUGH_INFO,niño drove record high global temperature suggesting rise may not manmade emission,82
But the new research shows that the amount of oxygen in those shells doesn’t actually remain constant over time.,NOT_ENOUGH_INFO,new research show amount oxygen shell actually remain constant time,67
The long-term tide gauge datasets are all in agreement that there is no acceleration,REFUTES,longterm tide gauge datasets agreement acceleration,51
"In an interview with the BBC after the scandal broke, Dr Jones admitted there had been no statistically significant global warming since 1995",REFUTES,interview bbc scandal broke jones admitted statistically significant global warming since,89
"But despite [the Gulf Stream], the summer of 2018 looks set to be one of the hottest on record.",SUPPORTS,despite gulf stream summer look set one hottest record,54
There exists a car that runs solely on water,REFUTES,exists car run solely water,27
"Until last June, most scientists acknowledged that warming reached a peak in the late 1990s",SUPPORTS,last june scientist acknowledged warming reached peak late 1990s,64
Evidence is growing that the comparatively cold zone within the Northern Atlantic could be due to a slowdown of this global ocean water circulation.,NOT_ENOUGH_INFO,evidence growing comparatively cold zone within northern atlantic could due slowdown global ocean water circulation,115
CO2 emissions were much smaller 100 years ago.,SUPPORTS,co2 emission much smaller year ago,34
The CO2 that nature emits (from the ocean and vegetation) is balanced by natural absorptions (again by the ocean and vegetation).,NOT_ENOUGH_INFO,co2 nature emits ocean vegetation balanced natural absorption ocean vegetation,78
"Unlike the simple example of positive feedback we learned in high school, the increase from every round of feedback gets smaller and smaller, in the case of the enhanced greenhouse effect.",NOT_ENOUGH_INFO,unlike simple example positive feedback learned high school increase every round feedback get smaller smaller case enhanced greenhouse effect,141
Top Scientist Hal Lewis Resigns Over Climate Change Corruption,NOT_ENOUGH_INFO,top scientist hal lewis resigns climate change corruption,57
This argument originates from Angstrom's work in 1901.,REFUTES,argument originates angstrom work,33
The main greenhouse gas is water vapour[…],SUPPORTS,main greenhouse gas water vapour…,33
This increases confidence in other peer-reviewed research predicting sea level rise of 80cm to 2 metres by 2100.,SUPPORTS,increase confidence peerreviewed research predicting sea level rise 80cm metre,78
"While the north-east, midwest and upper great plains have experienced a 30% increase in heavy rainfall episodes – considered once-in-every-five year downpours – parts of the west, particularly California, have been parched by drought.",SUPPORTS,northeast midwest upper great plain experienced increase heavy rainfall episode considered onceineveryfive year downpour part west particularly california parched drought,170
